,question,answer,paragraph_text,pnumber,law_name
31,,,"Overtrædelse af § 7, stk. 1-6, § 8, stk. 1 og 3-6, § 10, stk. 1, 2, 6 og 7, § 16 a, stk. 2, § 16 b, stk. 2, § 25, 2. pkt., § 28, § 33, stk. 1, § 33 a, stk. 1, § 38, stk. 1, 2 og 7 og stk. 8, 1. pkt., § 39, stk. 1, 3 og 4, §§ 40 og 45, § 46, stk. 1 og 2, § 49, stk. 1 og 2, § 50, stk. 2, § 52, § 53, stk. 1 og 2, § 61, stk. 1, §§ 61 b og 61 c, § 63, stk. 1, 2 og 4, § 64, stk. 5, jf. stk. 1, nr. 3 og 4, § 64 a, § 64 c, stk. 4, jf. § 64, stk. 5, jf. stk. 1, nr. 3 og 4, § 65, stk. 1, § 66, § 67, stk. 1, § 74, stk. 1 og 3, § 75, stk. 1, 1. pkt., og stk. 2-4, § 78, stk. 1 og 5-8, § 101, § 102, stk. 2, 3, 5 og 6, §§ 103-106, § 106 a, stk. 1-4, §§ 106 b og 106 c, § 106 d, stk. 1-5, §§ 107 a og 117, § 118, stk. 4, § 119, § 120, stk. 1, 2. pkt., og stk. 2, § 124, stk. 1, 2 og 5, § 125 b, stk. 3-5 og 8, § 125 c, stk. 1, § 125 d, § 125 e, stk. 1, jf. § 125 b, stk. 3-5 og 8, § 125 e, stk. 1, jf. § 125 c, stk. 1, § 146, stk. 1, § 147, stk. 1, § 149, stk. 1 og 3, §§ 150 og 151, § 152, stk. 1, § 153, stk. 1, §§ 154 og 170-175 a, § 175 g, stk. 1, 5 og 6, § 182, stk. 1 og 2, §§ 194, 195, 200, 200 a og 201, § 202, stk. 1 og 3, § 203, stk. 1, § 204, stk. 1, § 226, stk. 1 og 2, § 227, § 248, stk. 1, §§ 313 b og 334, § 343 v, stk. 1, og § 347, stk. 2, samt artikel 11, artikel 26, stk. 2, artikel 31, stk. 1, litra h, artikel 73, stk. 1, artikel 92, stk. 1, artikel 93, stk. 1-5, artikel 97, stk. 1, artikel 394, stk. 1, artikel 395 og 398 og artikel 500, stk. 1, i Europa-Parlamentets og Rådets forordning (EU) nr. 575/2013 om tilsynsmæssige krav til kreditinstitutter, og artikel 6, 7, 9 og 18-26 og 26 b-26 e, artikel 27, stk. 1 og 4, og artikel 28, stk. 2, i Europa-Parlamentets og Rådets forordning 2017/2402/EU af 12. december 2017 om en generel ramme for securitisering og om oprettelse af en specifik ramme for simpel, transparent og standardiseret securitisering samt artikel 3, stk. 1, 3, 4 og 6, artikel 5, artikel 6, stk. 1-6, artikel 10, artikel 11, artikel 12, stk. 1, artikel 13, stk. 2, artikel 15, stk. 2 og 3, artikel 16, stk. 1, artikel 18, stk. 1 og 4, artikel 20, stk. 1 og 2, og artikel 25 i Europa-Parlamentets og Rådets forordning 2020/1503/EU af 7. oktober 2020 om europæiske crowdfundingtjenesteudbydere for erhvervslivet samt artikel 14, stk. 3, artikel 16, stk. 1, artikel 23, stk. 1 og 4, artikel 36, stk. 1-3 og 5-7, artikel 38, stk. 1 og 3, artikel 39, stk. 2, artikel 40, stk. 1 og 2, artikel 48, stk. 1, artikel 49, stk. 4, artikel 50, stk. 1 og 2, artikel 54, artikel 59, stk. 1, artikel 60, stk. 1-6, artikel 70, stk. 1-4, artikel 72, stk. 1, artikel 75, stk. 1, 2 og 7, og artikel 76, stk. 1, 2 og 5-8, i Europa-Parlamentets og Rådets forordning (EU) 2023/1114 af 31. maj 2023 om markeder for kryptoaktiver straffes med bøde eller fængsel indtil 4 måneder, medmindre højere straf er forskyldt efter den øvrige lovgivning. Overtrædelse af § 16 c, § 16 d, stk. 1, § 16 f, stk. 1-3, § 54, stk. 2, § 64, stk. 6, § 64 c, stk. 1, 3, 8 og 10, jf. stk. 1 og 3, § 64 e, § 70, stk. 1-5, § 70 a, stk. 1-3, § 71, stk. 1, § 71 a, stk. 1 og stk. 2, 1. pkt., § 71 b, stk. 1, § 73, stk. 1, 1. pkt., og stk. 2, § 75, stk. 1, 2. pkt., § 75 a, stk. 1, § 75 b, stk. 1, § 75 c, stk. 1, § 77, stk. 1-6 og 10, § 77 a, stk. 1-6, §§ 77 b og 77 c, § 77 d, § 77 f, stk. 1 og 2, § 77 g, stk. 2, § 77 j, § 79 a, stk. 1, nr. 1 og 2, § 80, stk. 1, stk. 2, 1. pkt., og stk. 3, 7 og 8, § 80 a, § 80 b, stk. 1-3 og 5, og § 80 c, stk. 1 og 2, § 81 b, stk. 3, 5 og 6, § 85 b, stk. 3, 5 og 6, § 121, stk. 1, § 122, § 152 a, stk. 1, 1. pkt., § 152 b, stk. 4-7, § 152c, stk. 1, § 152 d, stk. 1, § 152 e, stk. 1, § 152 g, stk. 1, 1. og 3. pkt., stk. 2-5 og stk. 7, 1. pkt., § 152 j, stk. 1, 2. pkt., eller stk. 2, § 152 k, stk. 1, 2 eller 5, § 152 m, stk. 1, § 182 d, § 182 e, stk. 2 og stk. 7, 1. pkt., og § 182 f, § 183, stk. 1, 1. pkt., og stk. 5, § 184, stk. 1, § 185, stk. 1 og 3, og stk. 4, 1. pkt., §§ 186 og 187, § 188, stk. 1, stk. 2, 1. pkt., og stk. 3, 2. pkt., §§ 189 og 190, § 191, stk. 1-3, § 192, 1. pkt., § 193, 1. pkt., § 193 a, stk. 1 og 2, § 198, stk. 1, § 199, stk. 2 og 6, § 206, § 245 a, stk. 1 og 3, § 245 b, stk. 1, 1. pkt., og stk. 2, § 247 a, stk. 9 og 10, § 259 a, § 264, stk. 2 og 3, § 266, stk. 1, § 268, stk. 1-4, § 269 c, §§ 312 og 312 b, § 333 a, stk. 1-3, § 333 b, stk. 1-6, §§ 333 d, 333 e og 333 f, § 333 g, stk. 1-3, og §§ 333 h, 333 i og 333 j, § 336 a, stk. 3, 5 og 6, § 347 b, stk. 3 og 6, § 347 c, stk. 2, § 354 a, stk. 1, 1.-5. pkt., og stk. 3, 1.-7. pkt., samt artikel 4 i Rådets forordning om anvendelse af internationale regnskabsstandarder og artikel 4, stk. 1, i Europa Parlamentets og Rådets forordning om kreditvurderingsbureauer, artikel 28, artikel 41, stk. 1, litra b, artikel 49, stk. 1, litra c, artikel 51, jf. artikel 52, artikel 54, stk. 5, litra a og c, artikel 63, artikel 73, stk. 6, artikel 76, stk. 2, artikel 77, artikel 99, stk. 1, artikel 101, stk. 1 og 2, artikel 113, stk. 7, 1. afsnit, artikel 129, stk. 3 og 7, artikel 221, stk. 1 og 2, artikel 256, stk. 7, 1. afsnit, artikel 259, stk. 1, litra b og e, artikel 262, stk. 2, 2. afsnit, artikel 263, stk. 2, 1. afsnit, artikel 393, artikel 394, stk. 2, artikel 405, stk. 1, artikel 412, stk. 1 og 2, artikel 415, stk. 1 og 2, artikel 430, stk. 1, 1. afsnit, 1. pkt., og 2. afsnit, artikel 431, stk. 1, jf. artikel 435 og 436, artikel 437, stk. 1, artikel 438 og 439, artikel 440, stk. 1, artikel 441, stk. 1, artikel 442 og 444-450, artikel 451, stk. 1, artikel 431, stk. 3, artikel 433, 1.-3. afsnit, artikel 434, 1. afsnit, 2. og 3. pkt., og afsnit 2, 2. pkt., artikel 471, stk. 1, artikel 492, stk. 2-4, artikel 499, stk. 1, og artikel 501, stk. 3, i Europa-Parlamentets og Rådets forordning (EU) nr. 575/2013 om tilsynsmæssige krav til kreditinstitutter og artikel 5, stk. 1, artikel 6 og 7, artikel 8, stk. 1-3, artikel 9, artikel 10, stk. 1, artikel 13, stk. 1, 3 og 4, og artikel 14 og 19 i Europa-Parlamentets og Rådets forordning (EU) nr. 1286/2014 af 26. november 2014 om dokumenter med central information om sammensatte og forsikringsbaserede investeringsprodukter til detailinvestorer (PRIIP᾽er) og artikel 5-7, 18-30, 33-42, 44-46, 48, 50 og 52-56 i Europa-Parlamentets og Rådets forordning 2019/1238/EU af 20. juni 2019 om et paneuropæisk personligt pensionsprodukt (PEPP-produkt), artikel 4, artikel 8, stk. 1-6, artikel 9, stk. 1 og 2, artikel 19, stk. 1-6, artikel 22, artikel 23, stk. 2-14, og artikel 24 i Europa-Parlamentets og Rådets forordning 2020/1503/EU af 7. oktober 2020 om europæiske crowdfundingtjenesteudbydere for erhvervslivet, artikel 4, stk. 1, stk. 3, 3. afsnit, og stk. 6, artikel 5, stk. 2 og 3, artikel 6, stk. 1-10, artikel 7, stk. 1 og 2, artikel 8, stk. 1, 2 og 4-6, artikel 9 og 10, artikel 12, stk. 1-4 og 6-9, artikel 13, stk. 2 og 3, artikel 14, artikel 16, stk. 1, 2. afsnit, artikel 17, stk. 1 og 2, artikel 19, stk. 1-9, artikel 22, stk. 1 og 3, artikel 25, stk. 1, 2 og 4, artikel 27 og 28, artikel 29, stk. 1-3 og 6, artikel 30, artikel 31, stk. 1-4, artikel 32, stk. 1-4, artikel 33, artikel 34, stk. 1-12, artikel 35, stk. 1, artikel 36, stk. 8-12, artikel 37, stk. 1 og 2, artikel 39, stk. 1, 2. pkt., artikel 41, stk. 1 og 2, artikel 46, stk. 1 og 2, artikel 47, stk. 1-3, artikel 48, stk. 6 og 7, artikel 49, stk. 5, artikel 51, stk. 1-9 og 11-13og stk. 14, 1. pkt., artikel 53, stk. 1-3, 5 og 6, artikel 55, artikel 59, stk. 2, 5 og 8, artikel 64, stk. 8, artikel 65, stk. 4, artikel 66, stk. 1-5, artikel 67, stk. 1, 5 og 6, artikel 68, stk. 4-9, artikel 69, artikel 71, stk. 1-4, artikel 72, stk. 2-4, artikel 73, stk. 2 og 3, artikel 74, artikel 75, stk. 3-6 og 9, artikel 76, stk. 3, 4 og 9-15, artikel 77, 78 og 79, artikel 80, stk. 1-3, artikel 81, stk. 1-14, artikel 82, stk. 1, og artikel 83, stk. 1 og 2, i Europa-Parlamentets og Rådets forordning (EU) 2023/1114 af 31. maj 2023 om markeder for kryptoaktiver og artikel 5, stk. 1-3, artikel 6, stk. 1-8, artikel 7, stk. 1, artikel 8, stk. 1-7, artikel 9, stk. 1-3, artikel 10, stk. 1-4, artikel 11, stk. 1-8 og 10, artikel 12, stk. 1-4, 6 og 7, artikel 13, stk. 1-7, artikel 14, stk. 1-3, artikel 16, stk. 1 og 2, artikel 17, stk. 1-3, artikel 18, stk. 1 og 2, artikel 19, stk. 1, 3 og 4, artikel 24, stk. 1-6, artikel 25, stk. 1 og 3, artikel 28, stk. 1-4, 7 og 8, artikel 29, stk. 1 og 2, og artikel 30, stk. 1-3, i Europa-Parlamentets og Rådets forordning (EU) nr. 2554 af 14. december 2022 om digital operationel modstandsdygtighed i den finansielle sektor straffes med bøde. Med bøde straffes en finansiel virksomhed eller en finansiel holdingvirksomhed, der ikke efterkommer et påbud, der er givet i medfør af § 24, stk. 1, 3. pkt., § 152 k, stk. 4, § 175 g, stk. 3, § 243 a, stk. 2, § 245 a, stk. 2, § 261, § 264, stk. 5, § 264 a, § 269 a, stk. 1, § 347 b, stk. 1, 1. pkt., § 347 c, stk. 1, § 348, stk. 2, 1. pkt., eller § 350, stk. 1, og overtrædelser af § 112, stk. 1, i selskabsloven. I regler udstedt i medfør af loven og i regler udstedt i medfør af Europa-Parlamentets og Rådets forordning (EU) nr. 575/2013 om tilsynsmæssige krav til kreditinstitutter kan der fastsættes straf af bøde eller fængsel indtil 4 måneder for overtrædelse af bestemmelser i reglerne. Der kan pålægges selskaber m.v. (juridiske personer) strafansvar efter reglerne i straffelovens 5. kapitel. Gør et medlem af et pengeinstituts, et realkreditinstituts, et investeringsforvaltningsselskabs eller en finansiel holdingvirksomheds bestyrelse eller direktion eller en ansat, der i det daglige er en del af den faktiske ledelse, sig skyldig i grove eller oftere gentagne ledelsessvigt, der medfører tab eller risiko for tab for virksomheden, indskyderne, obligationsejerne eller andre investorer eller kunder i virksomheden, straffes vedkommende med bøde eller fængsel indtil 2 år, for så vidt højere straf ikke er forskyldt efter straffelovens § 290 b, stk. 1, eller den øvrige lovgivning. Personer, der er knyttet til et pengeinstitut, et realkreditinstitut eller et investeringsforvaltningsselskab uden at være medlem af bestyrelsen eller direktionen eller i det daglige en del af den faktiske ledelse, og som gør sig skyldig i grov eller oftere gentagen forsømmelse eller skødesløshed, der medfører tab eller risiko for tab for virksomheden, indskyderne, obligationsejerne eller andre investorer eller kunder i virksomheden, straffes med bøde eller fængsel indtil 2 år, for så vidt højere straf ikke er forskyldt efter den øvrige lovgivning. Pengeinstitutter, realkreditinstitutter, investeringsforvaltningsselskaber og personer, der er knyttet til virksomheden, og som giver urigtige eller vildledende oplysninger om forhold vedrørende virksomheden til offentlige myndigheder, offentligheden, noget selskabsorgan, indskyderne, obligationsejerne eller andre investorer i virksomheden, straffes med bøde eller fængsel indtil 2 år, for så vidt højere straf ikke er forskyldt efter straffelovens § 290 b, stk. 1, eller den øvrige lovgivning. Forældelsesfristen for overtrædelse af lovens bestemmelser eller regler udstedt i medfør af loven er 5 år, jf. dog stk. 10. Forældelsesfristen er dog 10 år for overtrædelse af § 7, stk. 1-4, § 8, stk. 1 og 3, § 10, stk. 1 og 2, § 33 a, stk. 1, § 70, stk. 1-5, § 71, stk. 1 og 3, § 75, § 78, stk. 1 og 5-7, § 102, stk. 2 og 5, § 103, stk. 1, 2 og 4, § 106, stk. 2, § 106 a, stk. 1 og 4, § 106 b, § 106 c, stk. 1 og 3, § 106 d, stk. 1, § 124, stk. 1 og 2, § 125 b, stk. 3-5 og 8, § 125 c, stk. 1, § 125 d, § 125 e, stk. 1, jf. § 125 b, stk. 3-5 og 8, § 125 e, stk. 1, jf. § 125 c, stk. 1, § 126 a, stk. 1-3, 5 og 9, § 150, § 152, stk. 1, § 152 m, stk. 1, § 153, stk. 1, § 167, stk. 1, 3 og 5, § 170, stk. 1, 2 og 5, §§ 171 og 172, § 174, stk. 1 og 2, § 175, § 182, stk. 1 og 2, § 183, stk. 5, §§ 186 og 187, § 188, stk. 1 og stk. 2, 1. pkt., § 193, 1. pkt., § 199, stk. 2 og 6, § 200, § 313 b, § 334, stk. 1, § 343 v, stk. 1, § 347, stk. 2, § 347 b, stk. 3 og 6, samt artikel 11, stk. 1, 2, 3 og 5, artikel 26, stk. 2, artikel 28, stk. 1-4, artikel 31, stk. 1, litra h, artikel 51, jf. artikel 52, artikel 54, stk. 5, litra a og c, artikel 73, stk. 1, artikel 77, artikel 92, stk. 1, artikel 93, stk. 1-5, artikel 97, stk. 1, artikel 113, stk. 7, 1. afsnit, artikel 393, artikel 394, stk. 1, artikel 395, stk. 1, 1. og 2. afsnit, og stk. 3 og 6, artikel 398, 1. og 2. afsnit, artikel 412, stk. 1 og 2, artikel 415, stk. 1 og 2, artikel 471, stk. 1, og artikel 500, stk. 1, i Europa-Parlamentets og Rådets forordning nr. 575/2013/EU af 26. juni 2013 om tilsynsmæssige krav til kreditinstitutter og investeringsselskaber eller regler udstedt i medfør af § 373, stk. 4, eller artikel 6, stk. 1, artikel 10, stk. 1, artikel 14, stk. 1, og artikel 19 i Europa-Parlamentets og Rådets forordning nr. 1286/2014/EU af 26. november 2014 om dokumenter med central information om sammensatte og forsikringsbaserede investeringsprodukter til detailinvestorer (PRIIP᾽er), artikel 12, stk. 1, og artikel 23 i Europa-Parlamentets og Rådets forordning 2020/1503/EU af 7. oktober 2020 om europæiske crowdfundingtjenesteudbydere for erhvervslivet og artikel 16, stk. 1, i Europa-Parlamentets og Rådets forordning (EU) 2023/1114 af 31. maj 2023 om markeder for kryptoaktiver. Finanstilsynet kan fastsætte regler om straf af bøde ved overtrædelse af bestemmelser indeholdt i Den Europæiske Unions forordninger, som vedtages af Europa-Kommissionen i medfør af Europa-Parlamentets og Rådets direktiv 2013/36/EU af 26. juni 2013 om adgang til at udøve virksomhed som kreditinstitut og om tilsyn med kreditinstitutter og investeringsselskaber, Europa-Parlamentets og Rådets forordning (EU) nr. 575/2013 om tilsynsmæssige krav til kreditinstitutter, Europa-Parlamentets og Rådets direktiv 2014/51/EU af 16. april 2014 om ændring af direktiv 2003/71/EF og 2009/138/EF samt forordning (EF) nr. 1060/2009, (EU) nr. 1094/2010 og (EU) nr. 1095/2010 for så vidt angår de beføjelser, der er tillagt den europæiske tilsynsmyndighed (Den Europæiske Tilsynsmyndighed for Forsikrings- og Arbejdsmarkedspensionsordninger) og den europæiske tilsynsmyndighed (Den Europæiske Værdipapirtilsynsmyndighed) og Europa-Parlamentets og Rådets forordning 2019/1238/EU af 20. juni 2019 om et paneuropæisk personligt pensionsprodukt (PEPP-produkt). Ved udmåling af bøder efter stk. 1-8 og 11 lægges vægt på overtrædelsens grovhed og gerningsmandens økonomiske forhold. Der udmåles en skærpet bøde for overtrædelser efter stk. 1-8 og 11, der indebærer en risiko for en finansiel virksomheds fortsatte drift, en risiko for en finansiel virksomheds fortsatte drift, drift af en finansiel virksomhed uden lovpligtig tilladelse eller grov eller gentagen tilsidesættelse af finansielle virksomheders oplysningspligter i forhold til Finanstilsynet under skærpende omstændigheder. Er der ved en overtrædelse opnået en økonomisk fordel, konfiskeres denne efter reglerne i straffelovens 9. kapitel.",373,LBK nr 1013 af 21/08/2024
32,,,"Udlæg kan ikke foretages i gaver, hvis giveren, da gaven blev givet, har bestemt, at udlæg ikke kan foretages. Udlæg kan ikke foretages i aktiver, som skyldneren i øvrigt har erhvervet på vilkår som nævnt i stk. 1, hvis erhvervelsen og vilkåret er led i en tilsvarende ordning for en flerhed af personer og hensynet til ordningens formål taler afgørende imod at tillade udlæg. Udlæg kan dog foretages i de i stk. 1 og 2 nævnte aktiver, hvis skyldneren har fri rådighed over dem, eller hvis der ikke er truffet rimelige foranstaltninger til at hindre skyldnerens råden. Vilkår om, at modtageren af en gave ikke kan råde over denne, antages at omfatte udelukkelse af udlæg, medmindre andet fremgår af omstændighederne.",514,LBK nr 250 af 04/03/2024
33,,,"For krav, som er tillagt udpantningsret, er fuldbyrdelsesfristen 7 dage efter dagen for meddelelse om forretningen, jf. § 493, stk. 3.",485,LBK nr 250 af 04/03/2024
34,,,"Hvis en indeholdelsespligtig udbetaler rejse- eller befordringsgodtgørelser efter reglerne i ligningslovens § 9 A eller § 9 B og det efterfølgende konstateres, at betingelserne for skattefrihed i disse bestemmelser ikke er opfyldt, kan told- og skatteforvaltningen efter anmodning fra den indeholdelsespligtige tillade, at den indeholdelsespligtige betaler et beløb svarende til 56 pct. af de pågældende godtgørelser. Told- og skatteforvaltningen træffer efter anmodning afgørelse om, hvorvidt udbetalte godtgørelser som nævnt i stk. 1 er skattepligtige. Betaling efter stk. 1 skal ske inden for fristen for betaling af indeholdt A-skat for den måned, der følger efter den måned, hvori tilladelsen efter stk. 1 er givet. Uanset skatteforvaltningslovens § 17 kan told- og skatteforvaltningen oplyse den indeholdelsespligtige om godtgørelser som omhandlet i stk. 1 udbetalt af den pågældende indeholdelsespligtige, som told- og skatteforvaltningen anser for skattepligtige, herunder om modtagerne af sådanne godtgørelser, og om der er udsendt agterskrivelser eller årsopgørelser til modtagerne, hvori godtgørelserne er medregnet.",69 A,LBK nr 460 af 03/05/2024
35,,,"Lov om kommunernes styrelse kapitel VI og VII finder i øvrigt tilsvarende anvendelse på de i § 33, stk. 2, anførte statsamtmænds tilsyn med sammenlægningsudvalgene.",34,LBK nr 71 af 23/01/2024
36,,,"Såfremt der i denne lov eller i regler, der udstedes i medfør af denne lov, stilles krav om anvendelse af bestemte systemer og anlæg, skal disse være godkendt for så vidt angår danske skibe af erhvervs- og vækstministeren eller den, som ministeren bemyndiger dertil, for så vidt angår danske platforme af energi-, forsynings- og klimaministeren eller den, som ministeren bemyndiger dertil, og for så vidt angår udenlandske skibe af kompetente myndigheder i en stat, der har tiltrådt konventionen om beskyttelse af havmiljøet i Østersøområdet eller konventionen om forebyggelse af forurening fra skibe jf. dog reglerne for godkendelse af anlæg til behandling af ballastvand i § 19 a, stk. 3 og 4, og § 19 c.",56,LBK nr 147 af 19/02/2024
37,,,Kandidatlisterne anføres på stemmesedlen i særskilte felter.,46,LBK nr 6 af 08/01/2024
38,,,"Politiet iværksætter beslaglæggelse. Politiet foranlediger ved henvendelse til den, som indgrebet retter sig imod, at et pålæg om edition opfyldes. Beslaglægges materiale hos personer, der er omfattet af § 172, kan den pågældende kræve, at det første gennemsyn af materialet skal foretages af retten. Har retten afsagt kendelse om beslaglæggelse af en formue eller en del af en formue, jf. § 802, stk. 3, skal politiet sørge for, at der beskikkes en værge til at bestyre den beslaglagte formue. Genstande, som kommer i politiets besiddelse som følge af beslaglæggelse eller pålæg om udlevering, skal snarest muligt optegnes og mærkes.",807,LBK nr 250 af 04/03/2024
39,,,"Institutionen anvender ved udbud og efterfølgende kontraktindgåelser klausuler om uddannelses- og praktikaftaler eller offentliggør senest ved kontraktindgåelsen på institutionens hjemmeside på internettet sin begrundelse for at undlade dette. Børne- og undervisningsministeren fastsætter regler om forpligtelsen efter stk. 1, herunder om, hvilke udbud der er omfattet af forpligtelsen.",38 a,LBK nr 146 af 14/02/2024
40,,,"En afviklingsenhed skal opfylde kravet om nedskrivningsegnede passiver, jf. § 198, på konsolideret grundlag på afviklingskoncernniveau, jf. dog stk. 3. Konsolideringen omfatter alene fondsmæglerselskaber, der har tilladelse til at yde eller udføre en eller begge af de i bilag 1, afsnit A, nr. 3 og 6, nævnte investeringsservicer og -aktiviteter, der er underlagt et krav om nedskrivningsegnede passiver. Finanstilsynet fastsætter efter høring af Finansiel Stabilitet en frist til at opfylde kravet om nedskrivningsegnede passiver på ny for afviklingsenheder, der har været genstand for nedskrivning eller konvertering efter §§ 214 eller 215 eller §§ 17 eller 18 a i lov om restrukturering og afvikling af visse finansielle virksomheder, og afviklingsenheder, som Finansiel Stabilitet har anvendt afviklingsværktøjer over for.",201,LBK nr 232 af 01/03/2024
41,,,"En forvalter af alternative investeringsfonde skal ved indretningen af sin virksomhed organisatorisk såvel som administrativt træffe alle rimelige foranstaltninger med henblik på at identificere, forhindre, styre og overvåge interessekonflikter for at forhindre, at de skader de forvaltede alternative investeringsfondes eller deres investorers interesser. En forvalter skal kunne identificere interessekonflikter, der vil kunne opstå i forbindelse med forvaltningen af alternative investeringsfonde imellem følgende: Forvalteren, herunder dens ledelse, ansatte eller enhver anden person, der direkte eller indirekte er forbundet med forvalteren ved et kontrolforhold, og de forvaltede alternative investeringsfonde eller investorer i sådanne alternative investeringsfonde. Forvalteren, herunder dens ledelse, ansatte eller enhver anden person, der direkte eller indirekte er forbundet med forvalteren ved et kontrolforhold, og de forvaltede alternative investeringsfonde eller investorer i sådanne alternative investeringsfonde. Forskellige forvaltede alternative investeringsfonde eller UCITS indbyrdes eller imellem investorer i sådanne fonde eller UCITS. Forvaltede alternative investeringsfonde eller investorer i sådanne fonde og en eller flere af forvalterens andre kunder. To af forvalterens kunder. Hvis kravene i stk. 1 og 2 ikke med rimelig sikkerhed kan sikre, at risikoen for at skade investorernes interesser vil blive undgået, skal forvalteren klart oplyse investorerne om interessekonflikternes generelle karakter eller kilderne hertil, inden forvalteren påtager sig opgaver på investorernes vegne. Forvalteren skal udarbejde passende politikker og procedurer for håndteringen af interessekonflikter, som skal anvendes, når de organisatoriske ordninger og foranstaltninger efter stk. 1 ikke er tilstrækkelige. Hvis forvalteren anvender prime broker-ydelser på vegne af en alternativ investeringsfond, skal betingelserne for sådanne ydelser være fastsat i en skriftlig aftale. Finanstilsynet kan fastsætte nærmere regler om de foranstaltninger, som forvalteren efter stk. 1 og 3-5 med rimelighed kan forventes at træffe, om de forskellige typer af interessekonflikter, som er omhandlet i stk. 2, og om forebyggelse af interessekonflikter.",23,LBK nr 231 af 01/03/2024
42,,,"Afstemningen begynder kl. Inden stemmeafgivningens begyndelse skal valgstyrere eller tilforordnede vælgere vise de tilstedeværende, at stemmekasserne er tomme.",38,LBK nr 1432 af 01/12/2023
43,,,Loven gælder ikke for Færøerne og Grønland.,71,LBK nr 69 af 23/01/2024
44,,,"Justitsministeren kan fastsætte bestemmelser, hvorefter afgørelser af udenlandske domstole og myndigheder om borgerlige krav og udenlandske offentlige forlig om sådanne krav skal have bindende virkning her i riget, når anerkendelsen ikke vil være åbenbart uforenelig med landets retsorden.",223 a,LBK nr 250 af 04/03/2024
